AllSubjects,Age,Gender,MelodyScore,PercentageMelodyScore,RhythmScore,PercentageOfRhythmScore,TotalMETScore,PercentageOfTotalMETScore,F1,F2,F3,F4,F5,GS
1,23,2,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,14,46,7,26,11,33
1,18,1,35,67.3076923076923,37,71.1538461538462,72,69.2307692307692,9,33,32,16,17,47
1,20,1,30,57.6923076923077,40,76.9230769230769,70,67.3076923076923,26,41,26,27,18,59
1,30,1,35,67.3076923076923,40,76.9230769230769,75,72.1153846153846,35,42,14,33,27,63
1,23,2,36,69.2307692307692,39,75,75,72.1153846153846,48,41,22,30,20,70
1,24,2,28,53.8461538461538,33,63.4615384615385,61,58.6538461538462,33,35,7,22,12,32
1,22,1,41,78.8461538461538,41,78.8461538461538,82,78.8461538461538,18,24,15,21,9,28
1,22,1,35,67.3076923076923,40,76.9230769230769,75,72.1153846153846,25,43,13,30,19,50
1,20,1,36,69.2307692307692,43,82.6923076923077,79,75.9615384615385,29,37,16,30,21,52
1,22,1,30,57.6923076923077,32,61.5384615384615,62,59.6153846153846,21,42,9,27,20,45
1,27,2,37,71.1538461538462,36,69.2307692307692,73,70.1923076923077,33,50,11,33,15,47
1,18,1,37,71.1538461538462,37,71.1538461538462,74,71.1538461538462,39,52,36,40,33,91
1,23,2,39,75,33,63.4615384615385,72,69.2307692307692,43,55,25,37,36,87
1,24,2,42,80.7692307692308,39,75,81,77.8846153846154,41,44,24,36,23,67
1,29,2,42,80.7692307692308,48,92.3076923076923,90,86.5384615384615,18,41,11,32,26,50
1,23,1,44,84.6153846153846,45,86.5384615384615,89,85.5769230769231,35,58,31,34,33,88
1,20,2,42,80.7692307692308,35,67.3076923076923,77,74.0384615384615,39,54,28,41,29,95
1,21,2,36,69.2307692307692,45,86.5384615384615,81,77.8846153846154,48,56,31,36,27,87
1,22,1,38,73.0769230769231,34,65.3846153846154,72,69.2307692307692,28,34,17,35,24,49
1,23,2,28,53.8461538461538,36,69.2307692307692,64,61.5384615384615,32,33,8,24,20,43
1,21,1,31,59.6153846153846,30,57.6923076923077,61,58.6538461538462,26,44,12,25,24,54
1,31,1,29,55.7692307692308,30,57.6923076923077,59,56.7307692307692,37,58,13,38,19,58
1,23,1,30,57.6923076923077,28,53.8461538461538,58,55.7692307692308,40,44,8,24,25,49
1,25,2,32,61.5384615384615,39,75,71,68.2692307692308,15,33,8,22,14,28
1,28,1,43,82.6923076923077,39,75,82,78.8461538461538,41,52,36,41,28,88
1,22,1,38,73.0769230769231,42,80.7692307692308,80,76.9230769230769,41,57,21,40,35,75
1,24,1,43,82.6923076923077,36,69.2307692307692,79,75.9615384615385,37,37,8,29,24,47
1,22,2,42,80.7692307692308,44,84.6153846153846,86,82.6923076923077,39,53,29,35,39,91
1,18,2,33,63.4615384615385,36,69.2307692307692,69,66.3461538461538,15,32,7,13,11,28
1,19,1,39,75,36,69.2307692307692,75,72.1153846153846,26,42,22,32,20,57
1,25,1,41,78.8461538461538,42,80.7692307692308,83,79.8076923076923,21,35,13,25,16,42
1,25,1,39,75,42,80.7692307692308,81,77.8846153846154,23,24,8,19,18,36
1,18,2,31,59.6153846153846,29,55.7692307692308,60,57.6923076923077,14,27,7,21,16,31
1,22,1,37,71.1538461538462,38,73.0769230769231,75,72.1153846153846,42,24,8,37,18,50
1,25,1,37,71.1538461538462,42,80.7692307692308,79,75.9615384615385,45,52,32,37,42,95
1,25,2,32,61.5384615384615,36,69.2307692307692,68,65.3846153846154,50,42,8,26,19,59
1,25,1,35,67.3076923076923,38,73.0769230769231,73,70.1923076923077,23,25,8,27,13,31
1,23,1,35,67.3076923076923,42,80.7692307692308,77,74.0384615384615,22,42,16,32,25,50
1,26,1,31,59.6153846153846,35,67.3076923076923,66,63.4615384615385,25,34,16,32,32,62
1,18,2,32,61.5384615384615,33,63.4615384615385,65,62.5,47,53,22,38,36,85
1,26,2,26,50,31,59.6153846153846,57,54.8076923076923,21,45,13,27,35,62
1,22,1,30,57.6923076923077,34,65.3846153846154,64,61.5384615384615,48,51,9,40,25,58
1,22,2,26,50,40,76.9230769230769,66,63.4615384615385,22,39,13,27,20,50
1,25,1,35,67.3076923076923,36,69.2307692307692,71,68.2692307692308,33,40,18,32,15,50
1,20,2,44,84.6153846153846,44,84.6153846153846,88,84.6153846153846,44,50,32,37,32,92
1,25,1,30,57.6923076923077,36,69.2307692307692,66,63.4615384615385,22,38,13,19,13,39
1,25,2,26,50,43,82.6923076923077,69,66.3461538461538,26,51,7,26,31,61
1,22,1,39,75,38,73.0769230769231,77,74.0384615384615,40,48,16,37,34,72
1,22,2,40,76.9230769230769,35,67.3076923076923,75,72.1153846153846,38,50,13,31,17,52
1,31,2,36,69.2307692307692,34,65.3846153846154,70,67.3076923076923,33,44,30,41,21,75
1,22,1,33,63.4615384615385,35,67.3076923076923,68,65.3846153846154,15,42,19,14,11,36
1,25,1,37,71.1538461538462,41,78.8461538461538,78,75,18,29,7,26,9,28
1,27,1,42,80.7692307692308,38,73.0769230769231,80,76.9230769230769,22,56,16,29,42,75
1,19,1,34,65.3846153846154,32,61.5384615384615,66,63.4615384615385,16,36,8,29,13,35
1,33,2,48,92.3076923076923,38,73.0769230769231,86,82.6923076923077,17,45,23,28,19,53
1,22,2,39,75,46,88.4615384615385,85,81.7307692307692,34,53,37,33,29,83
1,24,1,40,76.9230769230769,40,76.9230769230769,80,76.9230769230769,37,28,22,10,27,63
1,24,2,33,63.4615384615385,37,71.1538461538462,70,67.3076923076923,24,54,15,33,38,75
1,24,1,43,82.6923076923077,36,69.2307692307692,79,75.9615384615385,28,53,29,31,27,73
1,36,2,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,20,46,24,29,30,71
1,22,1,38,73.0769230769231,41,78.8461538461538,79,75.9615384615385,37,54,26,30,35,82
1,22,1,46,88.4615384615385,40,76.9230769230769,86,82.6923076923077,38,57,34,40,35,94
1,22,1,33,63.4615384615385,43,82.6923076923077,76,73.0769230769231,47,55,34,36,35,97
1,25,1,41,78.8461538461538,40,76.9230769230769,81,77.8846153846154,28,41,4,31,25,53
1,22,2,43,82.6923076923077,43,82.6923076923077,86,82.6923076923077,29,44,7,24,24,55
1,34,1,40,76.9230769230769,37,71.1538461538462,77,74.0384615384615,25,35,10,22,20,49
1,21,1,32,61.5384615384615,34,65.3846153846154,66,63.4615384615385,28,34,14,21,32,56
1,23,1,28,53.8461538461538,28,53.8461538461538,56,53.8461538461538,27,39,8,19,20,45
1,20,1,34,65.3846153846154,40,76.9230769230769,74,71.1538461538462,23,40,9,27,21,54
1,40,1,42,80.7692307692308,36,69.2307692307692,78,75,29,41,5,30,28,53
1,25,2,30,57.6923076923077,35,67.3076923076923,65,62.5,31,45,16,27,35,79
1,27,2,41,78.8461538461538,33,63.4615384615385,74,71.1538461538462,39,44,5,34,27,69
1,27,2,37,71.1538461538462,45,86.5384615384615,82,78.8461538461538,31,46,2,33,26,63
1,26,1,33,63.4615384615385,35,67.3076923076923,68,65.3846153846154,31,34,14,28,24,61
1,28,2,42,80.7692307692308,44,84.6153846153846,86,82.6923076923077,46,42,2,25,27,55
1,44,2,46,88.4615384615385,38,73.0769230769231,84,80.7692307692308,32,42,11,35,25,66
1,24,2,26,50,32,61.5384615384615,58,55.7692307692308,20,43,5,22,25,51
1,33,2,35,67.3076923076923,34,65.3846153846154,69,66.3461538461538,29,45,8,29,23,54
1,26,2,29,55.7692307692308,38,73.0769230769231,67,64.4230769230769,38,36,3,31,23,56
1,21,2,49,94.2307692307692,42,80.7692307692308,91,87.5,31,36,14,29,19,58
1,21,1,36,69.2307692307692,35,67.3076923076923,71,68.2692307692308,27,42,4,31,26,52
1,26,2,46,88.4615384615385,45,86.5384615384615,91,87.5,29,36,6,27,20,54
1,21,1,28,53.8461538461538,25,48.0769230769231,53,50.9615384615385,23,33,13,19,19,47
1,25,1,37,71.1538461538462,35,67.3076923076923,72,69.2307692307692,27,40,6,28,20,52
1,42,2,33,63.4615384615385,40,76.9230769230769,73,70.1923076923077,24,37,14,24,21,52
1,21,2,40,76.9230769230769,40,76.9230769230769,80,76.9230769230769,34,43,13,21,23,55
1,23,1,29,55.7692307692308,30,57.6923076923077,59,56.7307692307692,19,36,14,21,33,52
1,21,2,35,67.3076923076923,38,73.0769230769231,73,70.1923076923077,31,39,9,28,25,57
1,25,1,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,18,40,13,26,21,53
1,25,2,28,53.8461538461538,32,61.5384615384615,60,57.6923076923077,26,38,13,14,27,43
1,30,2,35,67.3076923076923,31,59.6153846153846,66,63.4615384615385,47,55,8,35,26,66
1,26,1,33,63.4615384615385,36,69.2307692307692,69,66.3461538461538,33,40,9,35,20,68
1,23,1,37,71.1538461538462,40,76.9230769230769,77,74.0384615384615,21,32,9,20,11,32
1,24,2,38,73.0769230769231,40,76.9230769230769,78,75,30,43,7,28,25,54
1,24,2,34,65.3846153846154,30,57.6923076923077,64,61.5384615384615,27,40,8,24,25,56
1,25,1,40,76.9230769230769,42,80.7692307692308,82,78.8461538461538,27,30,6,28,21,53
1,27,1,46,88.4615384615385,41,78.8461538461538,87,83.6538461538462,24,34,10,23,25,48
1,20,2,32,61.5384615384615,38,73.0769230769231,70,67.3076923076923,25,47,12,32,15,63
1,23,1,42,80.7692307692308,44,84.6153846153846,86,82.6923076923077,23,36,7,31,19,56
1,27,2,26,50,35,67.3076923076923,61,58.6538461538462,24,42,4,33,20,53
1,22,2,28,53.8461538461538,34,65.3846153846154,62,59.6153846153846,41,45,13,22,24,65
1,21,1,44,84.6153846153846,40,76.9230769230769,84,80.7692307692308,22,36,10,31,21,55
1,26,2,37,71.1538461538462,41,78.8461538461538,78,75,20,35,14,17,18,48
1,22,1,38,73.0769230769231,36,69.2307692307692,74,71.1538461538462,32,47,19,35,30,68
1,22,1,43,82.6923076923077,40,76.9230769230769,83,79.8076923076923,33,51,31,31,38,93
1,20,1,32,61.5384615384615,36,69.2307692307692,68,65.3846153846154,36,43,10,27,25,62
1,27,1,43,82.6923076923077,45,86.5384615384615,88,84.6153846153846,42,43,2,32,27,61
1,22,2,31,59.6153846153846,36,69.2307692307692,67,64.4230769230769,28,41,7,19,23,45
1,25,2,25,48.0769230769231,35,67.3076923076923,60,57.6923076923077,22,40,14,20,22,48
1,22,2,28,53.8461538461538,27,51.9230769230769,55,52.8846153846154,16,37,14,18,20,49
1,26,1,31,59.6153846153846,40,76.9230769230769,71,68.2692307692308,30,47,6,31,20,55
1,21,2,32,61.5384615384615,40,76.9230769230769,72,69.2307692307692,21,36,13,22,24,52
1,22,1,30,57.6923076923077,40,76.9230769230769,70,67.3076923076923,30,39,7,25,20,55
1,23,2,31,59.6153846153846,32,61.5384615384615,63,60.5769230769231,32,40,10,27,23,59
1,19,2,40,76.9230769230769,40,76.9230769230769,80,76.9230769230769,24,46,5,22,27,49
1,28,2,30,57.6923076923077,39,75,69,66.3461538461538,30,41,3,33,22,57
1,24,2,36,69.2307692307692,43,82.6923076923077,79,75.9615384615385,21,39,10,18,14,45
1,25,2,24,46.1538461538462,36,69.2307692307692,60,57.6923076923077,29,32,14,17,22,51
1,24,2,33,63.4615384615385,40,76.9230769230769,73,70.1923076923077,40,43,9,33,29,70
1,21,2,45,86.5384615384615,45,86.5384615384615,90,86.5384615384615,26,39,10,26,21,50
1,27,2,24,46.1538461538462,34,65.3846153846154,58,55.7692307692308,25,35,14,29,21,56
1,21,1,33,63.4615384615385,34,65.3846153846154,67,64.4230769230769,28,34,14,22,28,52
1,25,1,33,63.4615384615385,39,75,72,69.2307692307692,28,42,14,24,18,54
1,34,1,39,75,37,71.1538461538462,76,73.0769230769231,29,39,3,27,20,44
1,21,1,36,69.2307692307692,36,69.2307692307692,72,69.2307692307692,17,30,14,22,17,44
1,23,1,36,69.2307692307692,33,63.4615384615385,69,66.3461538461538,35,40,7,34,26,65
1,28,2,25,48.0769230769231,36,69.2307692307692,61,58.6538461538462,23,37,14,28,20,51
1,25,2,41,78.8461538461538,37,71.1538461538462,78,75,36,47,11,24,25,60
1,21,1,44,84.6153846153846,43,82.6923076923077,87,83.6538461538462,34,46,3,37,24,61
1,25,1,37,71.1538461538462,34,65.3846153846154,71,68.2692307692308,33,42,9,26,24,58
1,24,1,39,75,35,67.3076923076923,74,71.1538461538462,35,45,3,34,33,64
1,23,1,44,84.6153846153846,44,84.6153846153846,88,84.6153846153846,24,39,5,26,20,47
1,29,1,40,76.9230769230769,42,80.7692307692308,82,78.8461538461538,14,34,11,26,16,49
1,18,2,32,61.5384615384615,34,65.3846153846154,66,63.4615384615385,23,40,8,23,23,51
1,22,1,40,76.9230769230769,31,59.6153846153846,71,68.2692307692308,28,42,8,32,26,61
1,23,1,32,61.5384615384615,32,61.5384615384615,64,61.5384615384615,24,39,8,30,19,54
1,22,2,42,80.7692307692308,41,78.8461538461538,83,79.8076923076923,26,46,8,24,18,53
1,30,1,33,63.4615384615385,34,65.3846153846154,67,64.4230769230769,25,42,3,29,25,53
1,28,2,28,53.8461538461538,30,57.6923076923077,58,55.7692307692308,27,28,5,25,16,42
1,38,2,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,34,44,9,29,22,57
1,25,2,34,65.3846153846154,36,69.2307692307692,70,67.3076923076923,32,41,8,29,19,55
1,23,1,32,61.5384615384615,41,78.8461538461538,73,70.1923076923077,25,41,9,40,20,59
1,22,2,33,63.4615384615385,40,76.9230769230769,73,70.1923076923077,25,44,9,32,26,58
1,22,1,38,73.0769230769231,43,82.6923076923077,81,77.8846153846154,25,39,5,31,24,53
1,20,1,40,76.9230769230769,38,73.0769230769231,78,75,30,33,9,20,21,49
1,25,1,31,59.6153846153846,46,88.4615384615385,77,74.0384615384615,27,39,13,24,26,55
1,20,1,36,69.2307692307692,35,67.3076923076923,71,68.2692307692308,30,42,4,37,26,59
1,47,2,37,71.1538461538462,40,76.9230769230769,77,74.0384615384615,31,43,13,25,23,58
1,25,1,29,55.7692307692308,34,65.3846153846154,63,60.5769230769231,15,34,14,12,15,37
1,22,2,32,61.5384615384615,30,57.6923076923077,62,59.6153846153846,27,40,14,20,23,61
1,21,1,31,59.6153846153846,43,82.6923076923077,74,71.1538461538462,32,42,14,26,22,62
1,29,1,33,63.4615384615385,39,75,72,69.2307692307692,29,42,10,19,23,55
1,29,2,33,63.4615384615385,32,61.5384615384615,65,62.5,33,41,13,22,16,61
1,22,1,32,61.5384615384615,35,67.3076923076923,67,64.4230769230769,16,38,14,20,23,51
1,24,1,31,59.6153846153846,39,75,70,67.3076923076923,32,45,14,26,25,61
1,24,1,35,67.3076923076923,33,63.4615384615385,68,65.3846153846154,29,41,13,27,20,58
1,24,1,33,63.4615384615385,30,57.6923076923077,63,60.5769230769231,24,41,13,26,24,58
1,25,1,28,53.8461538461538,35,67.3076923076923,63,60.5769230769231,22,39,8,22,21,51
1,24,1,37,71.1538461538462,37,71.1538461538462,74,71.1538461538462,22,37,9,32,21,53
1,21,1,36,69.2307692307692,42,80.7692307692308,78,75,35,39,8,40,26,68
1,21,1,41,78.8461538461538,43,82.6923076923077,84,80.7692307692308,38,41,9,29,25,62
1,26,1,44,84.6153846153846,45,86.5384615384615,89,85.5769230769231,40,45,2,43,31,72
1,20,1,46,88.4615384615385,46,88.4615384615385,92,88.4615384615385,35,44,3,39,29,65
1,24,1,42,80.7692307692308,37,71.1538461538462,79,75.9615384615385,19,59,42,34,42,93
1,26,2,37,71.1538461538462,36,69.2307692307692,73,70.1923076923077,22,40,7,26,24,49
1,23,1,33,63.4615384615385,33,63.4615384615385,66,63.4615384615385,20,36,12,25,18,50
1,21,1,28,53.8461538461538,38,73.0769230769231,66,63.4615384615385,28,33,12,23,20,52
1,25,1,28,53.8461538461538,29,55.7692307692308,57,54.8076923076923,28,38,10,26,23,55
1,26,1,36,69.2307692307692,39,75,75,72.1153846153846,29,37,14,28,20,61
1,21,1,37,71.1538461538462,32,61.5384615384615,69,66.3461538461538,20,38,13,20,17,46
1,20,1,47,90.3846153846154,42,80.7692307692308,89,85.5769230769231,34,41,8,29,27,67
1,22,2,39,75,43,82.6923076923077,82,78.8461538461538,29,42,8,35,25,64
1,22,1,40,76.9230769230769,40,76.9230769230769,80,76.9230769230769,28,37,9,28,17,54
1,22,1,43,82.6923076923077,46,88.4615384615385,89,85.5769230769231,37,43,5,32,22,61
1,25,2,29,55.7692307692308,33,63.4615384615385,62,59.6153846153846,22,32,13,28,26,55
1,25,1,31,59.6153846153846,42,80.7692307692308,73,70.1923076923077,34,40,12,24,24,58
1,23,1,49,94.2307692307692,45,86.5384615384615,94,90.3846153846154,35,42,4,33,24,58
1,20,2,40,76.9230769230769,39,75,79,75.9615384615385,18,17,7,29,12,48
1,27,2,39,75,37,71.1538461538462,76,73.0769230769231,29,49,9,38,13,71
1,22,2,37,71.1538461538462,38,73.0769230769231,75,72.1153846153846,22,40,14,22,17,51
1,28,2,33,63.4615384615385,27,51.9230769230769,60,57.6923076923077,33,41,12,31,30,66
1,25,1,29,55.7692307692308,31,59.6153846153846,60,57.6923076923077,31,38,11,19,21,50
1,21,2,25,48.0769230769231,39,75,64,61.5384615384615,27,40,14,19,24,53
1,22,1,28,53.8461538461538,34,65.3846153846154,62,59.6153846153846,35,32,8,33,23,61
1,22,2,39,75,43,82.6923076923077,82,78.8461538461538,34,43,10,31,28,66
1,21,1,40,76.9230769230769,43,82.6923076923077,83,79.8076923076923,20,29,14,25,16,53
1,21,1,43,82.6923076923077,46,88.4615384615385,89,85.5769230769231,34,42,4,30,26,57
1,21,1,32,61.5384615384615,34,65.3846153846154,66,63.4615384615385,35,35,9,22,24,56
1,23,2,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,25,43,5,30,26,54
1,23,1,31,59.6153846153846,26,50,57,54.8076923076923,28,32,10,26,22,52
1,23,1,46,88.4615384615385,39,75,85,81.7307692307692,33,40,8,35,22,69
